id,away,home,league,field,start
1,1,2,1,0,2023-03-24T19:30:00Z
2,3,4,1,0,2023-03-24T19:30:00Z
3,5,6,1,0,2023-03-24T19:30:00Z
4,7,8,1,0,2023-03-24T19:30:00Z
5,9,12,2,0,2023-03-24T19:30:00Z
6,10,11,2,0,2023-03-24T19:30:00Z
7,1,4,1,0,2023-03-31T19:30:00Z
8,2,3,1,0,2023-03-31T19:30:00Z
9,5,8,1,0,2023-03-31T19:30:00Z
10,6,7,1,0,2023-03-31T19:30:00Z
11,9,11,2,0,2023-03-31T19:30:00Z
12,10,12,2,0,2023-03-31T19:30:00Z
13,1,7,1,0,2023-04-14T19:30:00Z
14,2,8,1,0,2023-04-14T19:30:00Z
15,3,5,1,0,2023-04-14T19:30:00Z
16,4,6,1,0,2023-04-14T19:30:00Z
17,9,10,2,0,2023-04-14T19:30:00Z
18,11,12,2,0,2023-04-14T19:30:00Z
19,1,3,1,0,2023-04-21T19:30:00Z
20,2,6,1,0,2023-04-21T19:30:00Z
21,4,8,1,0,2023-04-21T19:30:00Z
22,5,7,1,0,2023-04-21T19:30:00Z
23,9,12,2,0,2023-04-21T19:30:00Z
24,10,11,2,0,2023-04-21T19:30:00Z
25,1,6,1,0,2023-04-28T19:30:00Z
26,2,7,1,0,2023-04-28T19:30:00Z
27,3,8,1,0,2023-04-28T19:30:00Z
28,4,5,1,0,2023-04-28T19:30:00Z
29,9,11,2,0,2023-04-28T19:30:00Z
30,10,12,2,0,2023-04-28T19:30:00Z
31,1,5,1,0,2023-05-05T19:30:00Z
32,2,4,1,0,2023-05-05T19:30:00Z
33,3,7,1,0,2023-05-05T19:30:00Z
34,6,8,1,0,2023-05-05T19:30:00Z
35,9,10,2,0,2023-05-05T19:30:00Z
36,11,12,2,0,2023-05-05T19:30:00Z
37,1,8,1,0,2023-05-12T19:30:00Z
38,2,5,1,0,2023-05-12T19:30:00Z
39,3,6,1,0,2023-05-12T19:30:00Z
40,4,7,1,0,2023-05-12T19:30:00Z
41,9,12,2,0,2023-05-12T19:30:00Z
42,10,11,2,0,2023-05-12T19:30:00Z
43,1,2,1,0,2023-05-19T19:30:00Z
44,3,4,1,0,2023-05-19T19:30:00Z
45,5,6,1,0,2023-05-19T19:30:00Z
46,7,8,1,0,2023-05-19T19:30:00Z
47,9,11,2,0,2023-05-19T19:30:00Z
48,10,12,2,0,2023-05-19T19:30:00Z
49,1,4,1,0,2023-06-02T19:30:00Z
50,2,3,1,0,2023-06-02T19:30:00Z
51,5,8,1,0,2023-06-02T19:30:00Z
52,6,7,1,0,2023-06-02T19:30:00Z
53,9,10,2,0,2023-06-02T19:30:00Z
54,11,12,2,0,2023-06-02T19:30:00Z
55,1,7,1,0,2023-06-09T19:30:00Z
56,2,8,1,0,2023-06-09T19:30:00Z
57,3,5,1,0,2023-06-09T19:30:00Z
58,4,6,1,0,2023-06-09T19:30:00Z
59,9,12,2,0,2023-06-09T19:30:00Z
60,10,11,2,0,2023-06-09T19:30:00Z
61,1,3,1,0,2023-06-16T19:30:00Z
62,2,6,1,0,2023-06-16T19:30:00Z
63,4,8,1,0,2023-06-16T19:30:00Z
64,5,7,1,0,2023-06-16T19:30:00Z
65,9,11,2,0,2023-06-16T19:30:00Z
66,10,12,2,0,2023-06-16T19:30:00Z
67,1,6,1,0,2023-06-23T19:30:00Z
68,2,7,1,0,2023-06-23T19:30:00Z
69,3,8,1,0,2023-06-23T19:30:00Z
70,4,5,1,0,2023-06-23T19:30:00Z
71,9,10,2,0,2023-06-23T19:30:00Z
72,11,12,2,0,2023-06-23T19:30:00Z
73,1,5,1,0,2023-07-07T19:30:00Z
74,2,4,1,0,2023-07-07T19:30:00Z
75,3,7,1,0,2023-07-07T19:30:00Z
76,6,8,1,0,2023-07-07T19:30:00Z
77,9,12,2,0,2023-07-07T19:30:00Z
78,10,11,2,0,2023-07-07T19:30:00Z
79,1,8,1,0,2023-07-14T19:30:00Z
80,2,5,1,0,2023-07-14T19:30:00Z
81,3,6,1,0,2023-07-14T19:30:00Z
82,4,7,1,0,2023-07-14T19:30:00Z
83,9,11,2,0,2023-07-14T19:30:00Z
84,10,12,2,0,2023-07-14T19:30:00Z
85,9,10,2,0,2023-07-21T19:30:00Z
86,11,12,2,0,2023-07-21T19:30:00Z
